Key Alice,,,,,,,,,,Key Bob,,,,,,,,,,Time protocol,Time step 1 - Alice,Time step 1 - Bob,Time step 2,Time step 3,Total attack time
-2,1,-3,-2,-1,1,2,3,1,-3,-1,2,2,3,3,2,-1,-1,-3,-2,88.16103601455688,132.14007782936096,128.33075189590454,98.94495820999146,7.791284084320068,367.207072019577
2,-2,-2,2,-2,1,2,1,0,-3,0,-2,2,2,2,0,2,-3,-3,-2,84.69527792930603,135.34804582595825,136.63933515548706,111.47156572341919,8.18985629081726,391.64880299568176
-2,-1,3,1,2,-3,1,-1,0,1,-3,-2,2,1,-1,2,-1,-1,-2,-2,76.67374324798584,129.57458686828613,132.09915804862976,117.5591869354248,6.223765134811401,385.4566969871521
3,-3,-1,-2,0,-1,-3,-1,2,-1,-2,2,-2,-2,3,-1,-3,3,-2,-2,84.6205518245697,133.3607919216156,146.6053490638733,109.82832503318787,6.952890872955322,396.7473568916321
3,2,-1,-3,2,-1,1,2,1,-1,-3,-1,2,-2,1,2,-2,-3,1,0,82.65076899528503,130.80782008171082,138.78065299987793,106.32225894927979,7.561854124069214,383.47258615493774
0,2,1,2,-1,-3,-2,-1,1,2,-2,0,0,-1,-2,-1,1,-1,3,1,82.73326110839844,137.55390906333923,140.48520874977112,80.16271829605103,4.132468938827515,362.3343050479889
3,2,0,1,0,2,2,-1,2,1,0,-2,3,0,0,2,-2,-2,2,3,80.74330496788025,139.35687279701233,133.1399221420288,90.44209599494934,5.06523585319519,368.00412678718567
1,0,1,-1,-3,-3,-1,-2,1,3,-2,3,0,-2,1,2,-2,-3,0,0,77.53395390510559,129.65062880516052,134.81990504264832,107.46427297592163,9.669095993041992,381.60390281677246
1,-2,2,2,3,0,3,0,2,1,3,1,-1,-2,-3,-1,3,1,0,-1,87.43532586097717,144.18631768226624,154.70315718650818,115.41943907737732,7.521085739135742,421.8299996852875
1,0,-2,0,-3,-3,2,0,0,0,0,3,0,2,2,1,2,1,1,3,82.85551500320435,145.29544496536255,148.33007407188416,74.48044800758362,3.6640260219573975,371.7699930667877
