Key Alice,,,,,,,,,,Key Bob,,,,,,,,,,Time protocol,Time step 1 - Alice,Time step 1 - Bob,Time step 2,Time step 3,Total attack time
-2,-2,-1,2,-3,-1,3,3,1,3,-2,2,-3,1,-3,3,2,0,-2,1,82.42353630065918,114.19583010673523,111.29487609863281,102.71370196342468,8.26205587387085,336.4664640426636
1,0,2,-1,-2,-3,3,-3,1,2,3,2,2,-1,2,-2,-3,-1,3,-3,85.03761196136475,103.76978778839111,111.36768627166748,101.32391691207886,9.269667863845825,325.7310588359833
3,-2,1,-2,2,-3,-1,-3,-1,-1,-3,-1,2,2,-1,-2,3,1,-2,1,78.1507511138916,113.57169604301453,111.72989892959595,121.9526937007904,8.145395278930664,355.39968395233154
1,0,3,1,1,-1,0,0,2,0,-1,1,1,1,-3,-2,-3,-1,0,-2,70.31762385368347,111.67803120613098,115.38691473007202,85.29130601882935,3.8788931369781494,316.2351450920105
-3,0,-3,2,3,-3,-2,0,1,-3,-2,1,-3,3,2,0,0,-2,3,-2,80.10364699363708,112.13371706008911,109.1714379787445,114.17614579200745,7.135850191116333,342.6171510219574
2,-3,-3,3,1,3,-2,3,-3,-2,1,-3,1,-1,-3,0,0,0,2,3,82.69721388816833,111.6637487411499,111.50822401046753,104.31961226463318,6.601939916610718,334.0935249328613
2,0,1,-2,2,3,2,0,-3,2,1,-1,-1,-1,2,2,1,3,-2,-1,77.55776000022888,111.2997682094574,115.99227499961853,117.2530767917633,7.356987237930298,351.90210723876953
-1,1,3,2,-1,-2,2,0,0,1,2,3,-3,3,-2,1,3,2,-1,2,76.01623582839966,114.94347786903381,109.31905603408813,86.77146005630493,5.255306959152222,316.2893009185791
0,-1,0,-2,-2,2,1,0,1,1,1,3,-3,-3,3,-2,3,1,2,-1,75.34405875205994,115.73444509506226,114.16812491416931,94.88049793243408,4.953158140182495,329.73622608184814
-1,0,0,0,3,1,2,-2,1,0,0,2,0,2,0,-1,-1,0,-2,-2,69.0032548904419,115.66643714904785,117.87467861175537,83.46506118774414,4.992160081863403,321.99833703041077
